행정구역1,행정구역2,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
경기도,안양시,"543,480","37,805","50,704","74,600","76,894","84,973","95,090","74,768","31,758","14,630","2,215",43
경기도,안양시,"236,670","14,786","18,077","33,435","32,981","33,874","42,288","36,390","16,494","7,314","1,009",22
경기도,안양시,"306,810","23,019","32,627","41,165","43,913","51,099","52,802","38,378","15,264","7,316","1,206",21
경기도,부천시,"800,225","52,998","67,789","111,696","111,760","124,016","143,217","117,503","47,163","20,830","3,159",94
경기도,광명시,"290,841","21,809","29,493","36,641","39,715","49,441","48,414","38,974","17,491","7,755","1,078",30
경기도,평택시,"560,259","50,013","54,099","77,411","85,926","96,784","90,395","60,259","28,517","14,829","1,978",48
경기도,동두천시,"92,476","5,821","8,347","10,979","9,882","13,621","16,136","13,925","8,448","4,706",592,19
경기도,안산시,"648,095","41,752","61,121","104,992","84,609","102,815","126,782","78,495","30,004","15,240","2,225",60
경기도,안산시,"348,153","21,854","32,997","57,592","43,529","54,898","68,603","41,762","16,802","8,794","1,289",33
경기도,안산시,"299,942","19,898","28,124","47,400","41,080","47,917","58,179","36,733","13,202","6,446",936,27
경기도,고양시,"1,070,971","77,860","102,044","145,815","141,814","175,789","194,716","131,539","60,943","35,192","5,131",128
경기도,고양시,"479,606","37,111","41,095","61,594","68,696","77,677","83,197","61,846","30,142","16,014","2,177",57
경기도,고양시,"296,091","19,796","28,594","43,469","37,916","48,951","55,705","35,552","15,291","9,297","1,490",30
경기도,고양시,"295,274","20,953","32,355","40,752","35,202","49,161","55,814","34,141","15,510","9,881","1,464",41
경기도,과천시,"72,720","6,485","6,988","9,650","10,608","10,799","12,526","9,134","4,046","2,090",386,8
경기도,구리시,"190,531","13,935","17,273","25,809","24,968","31,037","34,505","25,762","11,446","5,139",639,18
경기도,남양주시,"729,730","63,509","78,150","86,018","89,989","131,433","121,254","90,129","45,857","20,424","2,868",99
경기도,오산시,"229,031","21,678","24,884","31,072","37,164","43,684","33,811","21,907","9,913","4,353",549,16
경기도,시흥시,"508,906","47,562","50,137","68,742","77,388","91,761","89,177","52,997","20,014","9,615","1,466",47
경기도,군포시,"267,023","18,619","25,406","36,708","36,932","42,286","47,089","35,713","15,020","7,977","1,233",40
경기도,의왕시,"162,293","12,627","14,025","22,574","22,771","23,824","29,022","23,130","9,094","4,454",756,16
경기도,하남시,"318,682","32,782","28,422","38,184","53,265","57,208","45,211","38,795","17,278","6,410","1,095",32
경기도,용인시,"1,071,474","94,556","120,104","137,353","139,903","196,045","170,002","113,059","65,533","30,383","4,403",133
경기도,용인시,"258,937","19,952","24,669","34,589","33,249","43,257","43,776","34,174","16,140","7,887","1,214",30
경기도,용인시,"439,361","39,724","50,322","56,966","56,858","81,878","69,277","43,833","26,331","12,340","1,773",59
경기도,용인시,"373,176","34,880","45,113","45,798","49,796","70,910","56,949","35,052","23,062","10,156","1,416",44
경기도,파주시,"480,442","43,407","50,149","59,225","68,148","82,383","76,366","54,477","28,679","15,349","2,207",52
경기도,이천시,"222,288","17,876","22,133","31,293","30,780","34,860","35,436","28,642","13,145","7,112",988,23
경기도,안성시,"188,580","13,116","17,689","23,051","22,665","29,976","31,741","27,580","13,792","7,830","1,114",26
경기도,김포시,"484,327","53,638","49,864","52,259","74,880","91,880","68,706","53,441","26,518","11,409","1,688",44
경기도,화성시,"884,561","101,285","100,965","108,890","150,875","171,211","122,186","78,114","33,128","15,596","2,257",54
경기도,광주시,"385,351","33,227","33,943","44,823","55,485","67,563","64,738","52,212","22,756","9,267","1,296",41
경기도,양주시,"235,067","19,634","24,227","27,619","27,944","39,631","39,177","31,318","16,486","7,874","1,124",33
경기도,포천시,"148,048","8,108","11,699","18,129","14,543","19,588","29,003","26,801","12,250","6,884","1,010",33
경기도,여주시,"111,697","6,843","9,392","11,913","11,072","15,640","19,970","20,131","10,122","5,693",895,26
경기도,연천군,"42,413","2,539","3,044","5,087","4,069","4,679","6,867","7,938","4,802","2,963",409,16
경기도,가평군,"61,875","3,155","4,455","6,106","5,467","7,704","11,015","12,933","6,673","3,830",516,21
경기도,양평군,"120,469","7,069","9,705","10,557","10,613","16,159","20,760","24,722","13,130","6,698","1,021",35
강원도,춘천시,"283,201","20,822","26,448","37,332","34,221","41,633","46,437","41,397","20,310","12,600","1,942",59
강원도,원주시,"356,113","27,407","35,309","44,787","45,204","56,518","60,857","49,736","21,326","12,954","1,963",52
강원도,강릉시,"212,063","12,833","18,419","24,495","21,116","31,584","36,422","35,572","19,461","10,424","1,686",51
강원도,동해시,"89,626","6,271","8,532","9,344","8,633","14,142","15,613","14,579","7,954","3,977",570,11
강원도,태백시,"40,486","2,301","3,664","3,443","3,273","6,045","6,926","7,765","4,697","2,146",224,2
강원도,속초시,"82,335","5,619","7,211","8,923","9,072","12,055","14,922","13,790","6,746","3,384",601,12
강원도,삼척시,"63,193","3,524","5,017","6,714","5,190","8,430","10,858","11,794","6,971","4,069",610,16
강원도,홍천군,"68,149","3,535","4,954","6,479","5,694","7,925","12,052","15,088","7,086","4,654",660,22
강원도,횡성군,"46,268","2,107","3,434","3,611","3,226","4,885","8,447","11,106","5,449","3,445",534,24
강원도,영월군,"37,715","1,549","2,740","3,127","2,607","4,277","7,053","8,469","4,671","2,852",358,12
강원도,평창군,"40,845","1,708","2,720","3,232","2,807","5,015","7,761","9,460","4,868","2,876",382,16
강원도,정선군,"35,495","1,628","2,408","2,614","2,744","4,593","6,638","7,882","4,352","2,305",321,10
강원도,철원군,"43,179","3,154","3,629","5,230","4,470","5,456","6,896","7,126","4,451","2,391",363,13
강원도,화천군,"24,123","1,708","1,720","3,559","2,754","2,594","3,745","4,113","2,206","1,489",225,10
강원도,양구군,"21,684","1,649","1,925","2,852","2,470","2,418","3,398","3,635","1,942","1,212",176,7
강원도,인제군,"32,103","2,499","2,236","4,206","3,976","3,924","5,095","5,711","2,585","1,606",258,7
강원도,고성군,"27,147","1,354","1,588","2,673","2,367","3,061","4,773","5,617","3,403","1,977",325,9
강원도,양양군,"27,762","1,269","1,769","2,321","2,232","3,408","4,892","5,914","3,620","1,997",330,10
충청북도,청주시,"845,331","71,117","84,680","118,493","117,266","135,185","137,044","105,114","47,838","24,999","3,504",91
충청북도,청주시,"193,091","15,896","19,632","24,367","23,301","30,301","33,214","26,234","12,420","6,736",967,23
충청북도,청주시,"192,089","12,809","19,397","28,043","22,141","29,491","33,527","26,875","12,498","6,411",878,19
충청북도,청주시,"266,391","23,431","26,277","40,399","41,144","42,951","42,724","29,954","12,476","6,139",876,20
충청북도,청주시,"193,760","18,981","19,374","25,684","30,680","32,442","27,579","22,051","10,444","5,713",783,29
충청북도,충주시,"208,604","13,753","18,456","23,543","22,747","29,991","36,764","34,318","17,128","10,500","1,376",28
충청북도,제천시,"131,050","8,186","11,329","14,247","12,247","17,547","23,370","24,297","12,240","6,726",824,37
충청북도,보은군,"31,719","1,333","2,011","2,240","2,001","3,104","5,563","7,322","4,408","3,214",509,14
충청북도,옥천군,"49,935","2,397","3,763","4,103","3,664","5,988","8,773","10,414","6,351","3,861",609,12
충청북도,영동군,"45,656","2,084","3,194","3,808","2,956","4,927","8,052","9,743","6,359","3,991",527,15
충청북도,증평군,"36,315","2,946","3,336","4,401","4,391","5,412","6,012","5,375","2,698","1,549",192,3
충청북도,진천군,"84,906","7,389","8,345","9,198","11,362","13,778","13,822","11,344","5,518","3,649",487,14
충청북도,괴산군,"37,986","1,247","1,939","2,751","2,280","3,711","7,281","9,472","5,336","3,472",482,15
충청북도,음성군,"91,744","5,402","7,388","9,124","9,067","13,250","17,270","16,497","8,121","4,873",736,16
충청북도,단양군,"28,237","1,085","1,860","2,044","1,795","3,037","5,323","6,802","3,768","2,222",290,11
충청남도,천안시,"655,809","58,684","67,595","94,871","101,885","111,014","103,430","69,423","30,653","15,863","2,325",66
충청남도,천안시,"254,092","18,802","25,563","34,468","31,530","41,560","43,057","33,760","15,751","8,327","1,241",33
충청남도,천안시,"401,717","39,882","42,032","60,403","70,355","69,454","60,373","35,663","14,902","7,536","1,084",33
충청남도,공주시,"102,722","5,304","7,904","10,870","8,887","12,759","17,741","19,424","11,396","7,269","1,136",32
충청남도,보령시,"98,056","5,614","8,036","9,072","8,808","13,283","16,547","17,837","11,297","6,559",979,24
충청남도,아산시,"323,254","31,519","35,490","37,409","48,092","57,933","48,037","34,860","18,304","10,160","1,411",39
충청남도,서산시,"176,120","14,753","17,094","18,859","21,530","27,690","28,662","23,697","13,974","8,512","1,313",36
충청남도,논산시,"114,077","6,729","9,425","10,756","10,137","14,564","19,135","20,870","12,808","8,372","1,252",29
충청남도,계룡시,"43,204","3,746","6,223","4,863","4,638","8,188","7,185","4,892","2,134","1,142",191,2
충청남도,당진시,"166,528","14,562","15,818","15,733","21,630","26,859","26,469","22,605","13,344","8,270","1,207",31
충청남도,금산군,"50,323","2,315","4,098","3,706","3,334","5,914","8,819","10,383","6,771","4,383",590,10
충청남도,부여군,"63,529","2,658","4,435","5,032","4,076","6,675","10,202","13,562","9,278","6,524","1,054",33
충청남도,서천군,"50,519","2,117","3,313","3,604","3,171","5,352","8,150","10,504","7,982","5,390",915,21
충청남도,청양군,"30,365","1,175","1,935","2,508","1,927","2,935","5,035","6,535","4,431","3,383",492,9
충청남도,홍성군,"98,993","7,351","9,447","9,278","10,031","14,097","15,643","15,490","10,111","6,563",958,24
충청남도,예산군,"76,524","3,324","5,429","6,447","5,737","8,977","12,923","15,572","10,313","6,854",916,32
충청남도,태안군,"61,235","2,825","4,253","4,715","4,619","7,314","10,454","12,784","8,832","4,733",693,13
전라북도,전주시,"655,170","51,429","70,033","92,315","80,665","104,430","106,761","80,795","44,843","20,811","3,021",67
전라북도,전주시,"334,639","23,051","34,591","48,538","38,926","51,091","56,905","44,311","24,257","11,221","1,708",40
전라북도,전주시,"320,531","28,378","35,442","43,777","41,739","53,339","49,856","36,484","20,586","9,590","1,313",27
전라북도,군산시,"264,032","19,480","26,118","28,915","28,943","42,266","43,855","38,816","23,298","10,631","1,672",38
전라북도,익산시,"276,631","17,513","26,992","34,868","27,201","40,009","48,200","42,084","24,651","12,973","2,102",38
전라북도,정읍시,"106,008","5,840","9,247","10,168","8,344","13,967","17,993","17,683","13,008","8,483","1,238",37
전라북도,남원시,"79,188","4,592","7,089","7,302","5,992","10,068","13,538","13,467","9,651","6,414","1,046",29
전라북도,김제시,"80,641","3,874","6,039","6,923","6,154","9,504","13,160","15,018","11,189","7,490","1,253",37
전라북도,완주군,"90,846","6,323","8,171","8,721","8,803","13,155","15,243","14,767","9,269","5,497",875,22
전라북도,진안군,"24,908","1,147","1,617","1,807","1,500","2,519","4,401","5,197","3,725","2,605",382,8
전라북도,무주군,"23,686","1,066","1,771","1,695","1,619","2,707","4,105","4,651","3,248","2,462",341,21
전라북도,장수군,"21,662","1,025","1,627","1,545","1,395","2,398","3,626","4,387","3,073","2,258",316,12
전라북도,임실군,"26,618","1,284","1,569","1,881","1,801","2,645","4,470","5,223","4,188","3,073",470,14
전라북도,순창군,"26,773","1,269","2,149","1,902","1,746","3,078","4,369","5,043","3,929","2,852",422,14
전라북도,고창군,"53,197","2,454","4,060","4,012","3,546","5,789","8,725","10,101","8,081","5,502",902,25
전라북도,부안군,"50,589","2,349","3,512","3,971","3,611","5,699","8,498","9,898","7,649","4,718",665,19
전라남도,목포시,"217,618","16,341","23,785","26,120","23,502","35,805","35,726","29,824","17,900","7,631",962,22
전라남도,여수시,"275,863","19,546","25,602","32,609","29,541","40,382","47,918","42,150","25,066","11,298","1,713",38
전라남도,순천시,"280,674","22,535","29,426","36,700","32,658","42,325","49,011","36,390","19,227","10,693","1,659",50
전라남도,나주시,"116,429","9,845","9,637","12,184","14,392","16,694","17,341","16,947","11,315","6,971","1,073",30
전라남도,광양시,"150,179","12,651","15,640","19,238","17,996","23,011","29,350","18,269","8,374","4,784",849,17
전라남도,담양군,"45,985","2,177","2,976","4,531","3,514","5,055","8,149","8,742","6,132","4,071",611,27
전라남도,곡성군,"27,391",964,"1,857","2,167","1,602","2,858","4,707","5,272","4,097","3,282",572,13
전라남도,구례군,"25,170","1,024","1,774","1,877","1,502","2,693","4,537","4,893","3,774","2,685",398,13
전라남도,고흥군,"62,526","2,412","3,670","3,838","3,381","5,931","9,859","12,964","11,280","7,846","1,304",41
전라남도,보성군,"39,259","1,515","2,479","2,736","2,287","3,876","6,482","7,746","6,423","4,910",785,20
전라남도,화순군,"62,376","3,249","5,492","6,693","4,633","7,842","11,366","10,166","7,212","4,994",714,15
전라남도,장흥군,"36,399","1,834","2,600","2,857","2,502","3,801","6,099","6,720","5,316","3,987",669,14
전라남도,강진군,"33,629","1,527","2,399","2,703","2,225","3,525","5,475","6,435","5,048","3,687",596,9
전라남도,해남군,"66,950","3,598","4,967","5,364","4,567","7,565","11,291","12,665","9,806","6,220",884,23
전라남도,영암군,"52,662","3,171","4,276","4,871","4,396","7,136","9,401","8,530","6,111","4,182",578,10
전라남도,무안군,"90,916","8,170","9,693","9,476","11,127","14,468","13,457","11,532","7,886","4,479",610,18
전라남도,함평군,"31,149","1,210","1,989","2,318","1,829","3,239","5,321","6,177","4,897","3,627",530,12
전라남도,영광군,"51,770","3,630","3,999","4,644","4,569","6,176","8,366","8,632","6,927","4,270",532,25
전라남도,장성군,"43,194","2,434","3,162","3,883","3,352","5,201","7,393","7,616","5,698","3,916",525,14
전라남도,완도군,"48,472","2,886","3,486","3,547","3,590","5,877","7,838","8,709","7,304","4,586",633,16
전라남도,진도군,"29,976","1,547","2,151","2,409","2,070","3,379","4,935","5,494","4,515","3,072",395,9
전라남도,신안군,"38,022","1,412","1,953","2,525","2,449","4,059","6,846","7,933","6,196","4,127",512,10
경상북도,포항시,"501,906","37,293","46,156","56,478","57,313","76,262","88,652","82,610","38,434","16,359","2,292",57
경상북도,포항시,"229,875","16,365","20,924","26,546","25,699","35,316","40,683","38,242","17,934","7,177",962,27
경상북도,포항시,"272,031","20,928","25,232","29,932","31,614","40,946","47,969","44,368","20,500","9,182","1,330",30
경상북도,경주시,"250,855","15,371","20,173","25,633","24,393","35,508","46,325","43,108","24,952","13,496","1,850",46
경상북도,김천시,"139,808","9,977","12,206","14,128","14,433","19,133","23,428","23,313","13,465","8,438","1,257",30
경상북도,안동시,"156,518","9,969","13,337","16,246","14,932","21,527","25,613","26,731","16,628","9,996","1,500",39
경상북도,구미시,"411,182","38,685","44,145","54,329","62,656","72,356","69,735","43,167","16,451","8,395","1,234",29
경상북도,영주시,"101,616","5,741","8,601","9,455","8,095","13,342","17,234","19,138","11,768","7,101","1,093",48
경상북도,영천시,"101,585","5,524","6,538","9,634","9,128","12,189","18,003","19,647","12,727","7,287",888,20
경상북도,상주시,"95,285","4,900","7,289","7,628","6,986","10,888","16,111","19,090","12,368","8,613","1,376",36
경상북도,문경시,"70,657","3,825","5,422","6,124","5,373","8,465","11,705","13,968","9,126","5,764",854,31
경상북도,경산시,"267,148","19,723","22,829","36,165","32,802","41,379","45,542","37,351","20,226","9,860","1,248",23
경상북도,군위군,"22,869",604,914,"1,375","1,203","1,988","4,137","5,592","3,989","2,705",351,11
경상북도,의성군,"50,416","1,800","2,181","2,824","2,937","4,427","8,110","12,129","8,836","6,290",867,15
경상북도,청송군,"24,487",916,"1,148","1,568","1,546","2,231","4,457","5,728","3,963","2,581",338,11
경상북도,영양군,"16,286",675,892,"1,063",990,"1,593","2,842","3,602","2,582","1,768",266,13
경상북도,영덕군,"35,110","1,458","2,030","2,221","2,127","3,557","5,954","7,513","5,759","3,918",557,16
경상북도,청도군,"41,715","1,412","2,229","2,576","2,550","4,253","7,049","9,927","6,655","4,408",647,9
경상북도,고령군,"30,528","1,316","1,906","2,300","2,042","3,527","5,695","6,569","4,112","2,713",344,4
